transaction_id,customer_id,transaction_date,transaction_type,category,channel,amount,balance_after
TXN1003743,CUST100466,2024-01-01,Credit,Salary,Net Banking,27653.6,60619.83
TXN1006205,CUST100772,2024-01-01,Debit,Investment,UPI,32424.66,183846.25
TXN1006177,CUST100767,2024-01-01,Debit,Dining,Branch,2885.15,57867.41
TXN1003560,CUST100441,2024-01-01,Debit,Shopping,UPI,7676.79,145554.36
TXN1006281,CUST100781,2024-01-01,Credit,Transfer In,Credit Card,31962.49,224651.02
TXN1000210,CUST100026,2024-01-01,Debit,EMI,UPI,31400.72,161406.19
TXN1016398,CUST102032,2024-01-01,Credit,Salary,Credit Card,45661.55,72894.56
TXN1013452,CUST101670,2024-01-01,Debit,ATM Withdrawal,UPI,23839.16,170135.62
TXN1029180,CUST103640,2024-01-01,Credit,Refund,Credit Card,9707.23,73004.82
TXN1032177,CUST104015,2024-01-01,Debit,EMI,Credit Card,23899.77,93253.26
TXN1026314,CUST103279,2024-01-01,Debit,Shopping,Credit Card,874.41,32306.07
TXN1018402,CUST102283,2024-01-01,Debit,Shopping,Branch,14338.82,36259.81
TXN1023066,CUST102876,2024-01-01,Debit,Utilities,UPI,40904.31,74496.1
TXN1029144,CUST103635,2024-01-01,Debit,Shopping,Debit Card,23370.46,163161.09
TXN1018451,CUST102289,2024-01-01,Debit,Utilities,UPI,265.26,24306.28
TXN1009659,CUST101201,2024-01-01,Credit,Transfer In,UPI,17448.56,35124.51
TXN1006654,CUST100824,2024-01-01,Debit,Shopping,Net Banking,585.56,26085.52
TXN1003528,CUST100437,2024-01-01,Debit,Shopping,Net Banking,1160.38,4680.84
TXN1013587,CUST101686,2024-01-01,Credit,Salary,UPI,13155.52,18665.28
TXN1003767,CUST100469,2024-01-01,Debit,Shopping,UPI,10570.77,109732.95
TXN1029054,CUST103624,2024-01-01,Credit,Refund,Net Banking,9773.51,38622.0
TXN1016408,CUST102033,2024-01-01,Debit,Insurance,Net Banking,5111.49,13042.07
TXN1020808,CUST102583,2024-01-01,Debit,EMI,Debit Card,15251.12,122557.91
TXN1018541,CUST102300,2024-01-01,Debit,Shopping,Net Banking,11172.45,83968.59
TXN1018544,CUST102301,2024-01-01,Credit,Salary,Net Banking,76406.81,259399.22
TXN1021289,CUST102646,2024-01-01,Debit,EMI,Debit Card,5102.11,6794.16
TXN1038060,CUST104749,2024-01-01,Debit,Utilities,Net Banking,3861.79,2283.33
TXN1004571,CUST100566,2024-01-01,Debit,EMI,Debit Card,3991.78,40004.22
TXN1025893,CUST103227,2024-01-01,Debit,Utilities,UPI,959.59,76242.31
TXN1030035,CUST103747,2024-01-01,Credit,Salary,Net Banking,34158.77,135094.13
TXN1009976,CUST101241,2024-01-01,Credit,Transfer In,UPI,3740.79,16947.92
TXN1025371,CUST103163,2024-01-01,Credit,Refund,UPI,2940.31,20110.56
TXN1025395,CUST103166,2024-01-01,Debit,Insurance,UPI,2946.64,86974.13
TXN1022076,CUST102749,2024-01-01,Debit,Travel,ATM,9287.99,70237.35
TXN1038295,CUST104778,2024-01-01,Credit,Salary,Debit Card,63315.63,234333.63
TXN1010316,CUST101285,2024-01-01,Debit,Shopping,UPI,9039.49,164430.8
TXN1032943,CUST104111,2024-01-01,Debit,Shopping,Debit Card,18865.8,167153.17
TXN1022318,CUST102778,2024-01-01,Debit,EMI,Debit Card,2297.67,49256.68
TXN1033081,CUST104127,2024-01-01,Debit,EMI,Net Banking,8874.11,65195.37
TXN1029881,CUST103728,2024-01-01,Credit,Salary,UPI,24883.07,81925.16
TXN1010381,CUST101294,2024-01-01,Debit,ATM Withdrawal,UPI,5977.2,38768.09
TXN1038303,CUST104778,2024-01-01,Credit,Salary,Debit Card,61732.88,147402.47
TXN1030473,CUST103802,2024-01-01,Debit,Travel,Debit Card,10339.79,95352.43
TXN1008264,CUST101026,2024-01-01,Debit,ATM Withdrawal,UPI,708.1,123297.78
TXN1017080,CUST102117,2024-01-01,Debit,EMI,Credit Card,15910.01,9816.56
TXN1033066,CUST104125,2024-01-01,Debit,Transfer Out,UPI,2363.02,209816.7
TXN1033152,CUST104136,2024-01-01,Debit,Transfer Out,UPI,3999.0,194795.15
TXN1032691,CUST104080,2024-01-01,Debit,Travel,Net Banking,1534.13,14930.27
TXN1030123,CUST103761,2024-01-01,Debit,Shopping,Debit Card,4526.55,774.42
TXN1022255,CUST102771,2024-01-01,Debit,ATM Withdrawal,Debit Card,12332.33,32689.42
TXN1037938,CUST104736,2024-01-01,Debit,Shopping,UPI,654.45,60201.81
TXN1014818,CUST101841,2024-01-01,Debit,Utilities,Net Banking,23134.48,85812.9
TXN1008134,CUST101010,2024-01-01,Debit,Utilities,Debit Card,1109.56,81179.89
TXN1010055,CUST101251,2024-01-01,Debit,ATM Withdrawal,ATM,465.51,9239.41
TXN1000989,CUST100130,2024-01-01,Debit,EMI,Debit Card,11150.85,7004.62
TXN1003383,CUST100419,2024-01-01,Credit,Salary,ATM,11429.54,37427.92
TXN1007909,CUST100981,2024-01-01,Debit,Transfer Out,UPI,14601.09,138052.46
TXN1025230,CUST103144,2024-01-01,Debit,Transfer Out,UPI,1285.86,81452.34
TXN1022302,CUST102776,2024-01-01,Debit,Shopping,ATM,5896.03,36452.98
TXN1032894,CUST104106,2024-01-01,Debit,Utilities,Credit Card,2846.79,12971.62
TXN1022306,CUST102776,2024-01-01,Debit,Transfer Out,Net Banking,10157.89,54962.84
TXN1014903,CUST101851,2024-01-01,Debit,Utilities,UPI,2233.89,4814.01
TXN1025266,CUST103149,2024-01-01,Debit,Utilities,UPI,9793.52,7368.95
TXN1014673,CUST101822,2024-01-01,Credit,Refund,Credit Card,2278.14,33953.73
TXN1032915,CUST104108,2024-01-01,Debit,Travel,UPI,16507.82,85603.82
TXN1030245,CUST103775,2024-01-01,Debit,Shopping,Credit Card,5905.63,45494.78
TXN1014412,CUST101791,2024-01-01,Credit,Salary,UPI,31263.83,59071.61
TXN1005136,CUST100637,2024-01-01,Debit,EMI,UPI,3577.36,23863.77
TXN1033185,CUST104139,2024-01-01,Credit,Transfer In,Net Banking,3598.45,56244.78
TXN1021548,CUST102680,2024-01-01,Debit,Investment,Net Banking,13184.22,110484.63
TXN1036050,CUST104496,2024-01-01,Debit,Utilities,Debit Card,6452.73,34726.17
TXN1002569,CUST100322,2024-01-01,Debit,ATM Withdrawal,Branch,5544.58,4557.37
TXN1021525,CUST102677,2024-01-01,Debit,Travel,Debit Card,6457.43,63868.76
TXN1000381,CUST100049,2024-01-01,Debit,EMI,ATM,4028.29,58474.13
TXN1017822,CUST102210,2024-01-01,Debit,Shopping,UPI,10287.81,25114.89
TXN1030544,CUST103811,2024-01-01,Debit,Travel,UPI,457.07,65205.28
TXN1037862,CUST104725,2024-01-01,Debit,EMI,Debit Card,1373.47,4575.24
TXN1010592,CUST101322,2024-01-01,Debit,Dining,Net Banking,3155.02,51570.19
TXN1000578,CUST100075,2024-01-01,Debit,Transfer Out,ATM,6207.39,45217.62
TXN1000372,CUST100047,2024-01-01,Debit,Utilities,UPI,7244.96,38032.93
TXN1015117,CUST101877,2024-01-01,Debit,Utilities,Credit Card,5310.74,105207.87
TXN1030567,CUST103814,2024-01-01,Debit,EMI,UPI,24581.82,103373.82
TXN1003981,CUST100495,2024-01-01,Debit,EMI,Debit Card,1175.38,5205.6
TXN1007324,CUST100905,2024-01-01,Debit,Shopping,UPI,14124.43,21972.85
TXN1021370,CUST102654,2024-01-01,Debit,EMI,UPI,8984.27,111117.15
TXN1000577,CUST100075,2024-01-01,Credit,Salary,UPI,21201.85,50249.94
TXN1022545,CUST102809,2024-01-01,Debit,Insurance,UPI,1562.72,42871.84
TXN1014315,CUST101778,2024-01-01,Debit,Insurance,UPI,68944.87,253937.32
TXN1003952,CUST100492,2024-01-01,Debit,Transfer Out,UPI,17432.42,46773.54
TXN1001858,CUST100239,2024-01-01,Debit,EMI,UPI,6149.68,82889.2
TXN1005146,CUST100638,2024-01-01,Debit,Shopping,UPI,18537.94,228420.61
TXN1024983,CUST103112,2024-01-01,Debit,ATM Withdrawal,Debit Card,25596.53,172420.63
TXN1010470,CUST101306,2024-01-01,Debit,EMI,UPI,4856.98,44574.38
TXN1036398,CUST104540,2024-01-01,Debit,EMI,UPI,2803.98,28051.13
TXN1017601,CUST102183,2024-01-01,Debit,Transfer Out,UPI,8171.15,101607.92
TXN1014388,CUST101786,2024-01-01,Debit,Shopping,Net Banking,14895.38,41529.13
TXN1014333,CUST101780,2024-01-01,Debit,Dining,UPI,10157.81,100334.22
TXN1000561,CUST100073,2024-01-01,Debit,EMI,UPI,1465.44,3997.67
TXN1024974,CUST103110,2024-01-01,Debit,Shopping,UPI,803.89,17236.41
TXN1007591,CUST100941,2024-01-01,Debit,Utilities,UPI,14136.43,115512.66
TXN1021661,CUST102693,2024-01-01,Debit,Utilities,UPI,10330.62,59522.25
TXN1021656,CUST102693,2024-01-01,Debit,EMI,UPI,5068.73,13026.98
TXN1029718,CUST103708,2024-01-01,Debit,Insurance,UPI,29670.54,235601.52
TXN1036044,CUST104496,2024-01-01,Credit,Salary,Credit Card,76423.72,182420.69
TXN1029694,CUST103705,2024-01-01,Credit,Refund,Net Banking,2885.65,26826.08
TXN1029683,CUST103704,2024-01-01,Debit,Utilities,Net Banking,3959.58,5959.93
TXN1033685,CUST104200,2024-01-01,Debit,Transfer Out,UPI,13671.82,95330.96
TXN1031028,CUST103869,2024-01-01,Debit,Dining,ATM,2049.97,23183.97
TXN1008115,CUST101008,2024-01-01,Credit,Refund,UPI,8157.3,23893.71
TXN1024477,CUST103048,2024-01-01,Credit,Transfer In,Net Banking,8436.36,32757.51
TXN1015557,CUST101927,2024-01-01,Credit,Refund,UPI,3380.5,45987.19
TXN1023867,CUST102973,2024-01-01,Credit,Transfer In,UPI,7631.46,29485.12
TXN1005793,CUST100718,2024-01-01,Credit,Salary,Debit Card,44307.89,69405.41
TXN1004311,CUST100534,2024-01-01,Debit,Utilities,Net Banking,18242.84,80744.95
TXN1036224,CUST104518,2024-01-01,Credit,Salary,UPI,53944.61,172643.95
TXN1035707,CUST104452,2024-01-01,Debit,EMI,ATM,7246.19,16807.76
TXN1006029,CUST100748,2024-01-01,Debit,Travel,UPI,6300.56,47160.92
TXN1012813,CUST101591,2024-01-01,Debit,EMI,Net Banking,8429.37,76930.75
TXN1037159,CUST104641,2024-01-01,Credit,Refund,Credit Card,4954.22,60220.07
TXN1031747,CUST103963,2024-01-01,Debit,Utilities,Debit Card,2408.91,9640.99
TXN1035550,CUST104433,2024-01-01,Credit,Transfer In,Debit Card,7444.43,27137.08
TXN1012564,CUST101560,2024-01-01,Debit,EMI,Net Banking,4140.11,73877.19
TXN1039354,CUST104910,2024-01-01,Debit,Travel,Credit Card,202.84,12659.33
TXN1020282,CUST102518,2024-01-01,Debit,Shopping,Credit Card,454.26,22668.82
TXN1034869,CUST104349,2024-01-01,Credit,Salary,Net Banking,9539.76,36883.7
TXN1037175,CUST104643,2024-01-01,Credit,Transfer In,ATM,8527.08,83074.84
TXN1000087,CUST100013,2024-01-01,Debit,Shopping,Net Banking,3763.99,69251.59
TXN1018851,CUST102337,2024-01-01,Debit,Transfer Out,UPI,1989.47,170475.24
TXN1038611,CUST104817,2024-01-01,Debit,Dining,UPI,3076.49,9007.15
TXN1009062,CUST101125,2024-01-01,Debit,Insurance,Credit Card,16461.0,33187.61
TXN1003580,CUST100445,2024-01-01,Debit,EMI,UPI,2760.43,20503.23
TXN1038524,CUST104807,2024-01-01,Debit,EMI,Credit Card,773.03,35101.19
TXN1012964,CUST101610,2024-01-01,Debit,Shopping,Debit Card,12882.55,137070.75
TXN1038518,CUST104806,2024-01-01,Debit,Transfer Out,Debit Card,1446.99,40411.73
TXN1027639,CUST103450,2024-01-01,Credit,Salary,Net Banking,53099.44,113720.78
TXN1023554,CUST102932,2024-01-01,Credit,Transfer In,UPI,1460.86,12772.91
TXN1037583,CUST104692,2024-01-01,Debit,Utilities,Debit Card,13270.41,7854.27
TXN1018992,CUST102357,2024-01-01,Debit,Transfer Out,ATM,4865.64,63531.27
TXN1012014,CUST101496,2024-01-01,Debit,Shopping,Net Banking,4122.45,127558.32
TXN1028370,CUST103540,2024-01-01,Credit,Salary,Net Banking,63207.75,167480.59
TXN1015597,CUST101934,2024-01-01,Debit,Investment,Debit Card,3413.22,69928.95
TXN1013106,CUST101627,2024-01-01,Credit,Salary,Net Banking,105830.65,172714.55
TXN1036600,CUST104565,2024-01-01,Debit,ATM Withdrawal,Debit Card,2645.29,4466.96
TXN1028688,CUST103577,2024-01-01,Debit,Shopping,Debit Card,16207.98,37894.45
TXN1012900,CUST101600,2024-01-01,Debit,Transfer Out,UPI,16942.22,83476.41
TXN1000098,CUST100014,2024-01-01,Debit,Shopping,UPI,3749.61,23562.43
TXN1023702,CUST102953,2024-01-01,Debit,EMI,Debit Card,1454.12,383126.48
TXN1015869,CUST101968,2024-01-01,Debit,Travel,Net Banking,26956.59,207736.97
TXN1000753,CUST100096,2024-01-01,Debit,Transfer Out,UPI,117748.83,229611.52
TXN1023651,CUST102944,2024-01-01,Debit,Insurance,UPI,1612.75,13564.87
TXN1024144,CUST103006,2024-01-01,Debit,Investment,UPI,20587.95,2899.27
TXN1001393,CUST100182,2024-01-01,Credit,Salary,UPI,112752.69,213731.47
TXN1035012,CUST104369,2024-01-01,Credit,Salary,UPI,23406.16,50176.57
TXN1035696,CUST104450,2024-01-01,Debit,ATM Withdrawal,ATM,6876.97,34681.78
TXN1028492,CUST103553,2024-01-01,Debit,Shopping,UPI,1835.97,23729.91
TXN1035014,CUST104369,2024-01-01,Credit,Salary,UPI,25493.41,67288.31
TXN1028485,CUST103553,2024-01-01,Debit,Utilities,UPI,1324.44,27876.61
TXN1027827,CUST103473,2024-01-01,Debit,Utilities,UPI,3489.64,14035.12
TXN1038943,CUST104857,2024-01-01,Debit,ATM Withdrawal,Credit Card,5969.44,23816.9
TXN1019688,CUST102445,2024-01-01,Debit,ATM Withdrawal,Net Banking,11396.04,17964.76
TXN1001537,CUST100199,2024-01-01,Debit,Dining,Net Banking,3944.74,34819.78
TXN1035508,CUST104429,2024-01-01,Debit,Dining,UPI,4272.3,37637.48
TXN1012990,CUST101613,2024-01-01,Credit,Refund,Net Banking,16941.14,39981.05
TXN1037538,CUST104687,2024-01-01,Debit,Shopping,Credit Card,22308.53,151271.89
TXN1012621,CUST101568,2024-01-01,Debit,EMI,UPI,10441.62,85707.72
TXN1031430,CUST103923,2024-01-01,Debit,Utilities,UPI,13532.57,67792.95
TXN1035010,CUST104369,2024-01-01,Debit,Utilities,Net Banking,5188.15,52668.61
TXN1035279,CUST104401,2024-01-01,Debit,ATM Withdrawal,Debit Card,10269.33,76398.57
TXN1005404,CUST100667,2024-01-01,Debit,Dining,UPI,12426.79,3544.95
TXN1031905,CUST103981,2024-01-01,Debit,Utilities,Net Banking,7078.63,63053.99
TXN1015968,CUST101980,2024-01-01,Debit,Dining,Credit Card,7699.28,49512.04
TXN1026982,CUST103366,2024-01-01,Debit,Dining,UPI,14698.75,69167.73
TXN1003640,CUST100454,2024-01-01,Debit,Dining,Debit Card,45019.22,226290.79
TXN1012217,CUST101520,2024-01-01,Credit,Refund,ATM,5953.93,30169.0
TXN1031627,CUST103948,2024-01-01,Debit,Shopping,Net Banking,6430.13,71357.41
TXN1019075,CUST102367,2024-01-01,Debit,Shopping,Net Banking,2730.37,48212.91
TXN1015524,CUST101924,2024-01-01,Debit,Shopping,UPI,7144.98,42282.91
TXN1005419,CUST100669,2024-01-01,Credit,Salary,ATM,19468.95,75933.85
TXN1039758,CUST104961,2024-01-01,Debit,ATM Withdrawal,Debit Card,4820.75,39378.58
TXN1009166,CUST101139,2024-01-01,Debit,Utilities,Debit Card,1374.72,9368.25
TXN1025062,CUST103123,2024-01-02,Debit,EMI,Net Banking,29226.93,183436.89
TXN1000369,CUST100047,2024-01-02,Debit,Dining,Net Banking,548.07,82475.71
TXN1022684,CUST102827,2024-01-02,Debit,Utilities,UPI,25001.49,30628.04
TXN1014214,CUST101766,2024-01-02,Credit,Transfer In,Net Banking,20887.19,53387.33
TXN1007334,CUST100905,2024-01-02,Credit,Salary,Debit Card,50597.48,92563.81
TXN1016657,CUST102067,2024-01-02,Debit,EMI,UPI,3325.4,52117.32
TXN1022754,CUST102834,2024-01-02,Debit,ATM Withdrawal,UPI,1543.21,59044.68
TXN1002598,CUST100327,2024-01-02,Debit,EMI,UPI,6079.8,2741.18
TXN1009022,CUST101118,2024-01-02,Debit,Shopping,Debit Card,2758.23,46869.18
TXN1007239,CUST100895,2024-01-02,Credit,Salary,ATM,41089.39,120663.9
TXN1033724,CUST104206,2024-01-02,Debit,EMI,UPI,7341.24,98393.17
TXN1039517,CUST104930,2024-01-02,Debit,Shopping,Debit Card,55322.61,422940.84
TXN1001789,CUST100231,2024-01-02,Debit,Utilities,Net Banking,8608.5,120200.54
TXN1025947,CUST103235,2024-01-02,Debit,Shopping,Debit Card,4250.74,71634.36
TXN1014151,CUST101757,2024-01-02,Debit,Dining,Net Banking,7208.13,44788.37
TXN1016599,CUST102059,2024-01-02,Debit,Utilities,UPI,5844.53,124609.97
TXN1037460,CUST104678,2024-01-02,Debit,Transfer Out,ATM,5256.72,119333.47
TXN1012827,CUST101592,2024-01-02,Debit,EMI,UPI,4238.97,173906.36
TXN1019898,CUST102472,2024-01-02,Debit,EMI,ATM,3871.02,44538.84
TXN1009812,CUST101222,2024-01-02,Debit,Shopping,UPI,3828.24,67015.44
TXN1039780,CUST104964,2024-01-02,Credit,Salary,UPI,84159.57,233721.35
TXN1003988,CUST100496,2024-01-02,Debit,ATM Withdrawal,UPI,8607.14,86558.4
TXN1027760,CUST103465,2024-01-02,Debit,Utilities,Net Banking,11101.27,5986.27
TXN1003984,CUST100495,2024-01-02,Debit,Transfer Out,ATM,5778.31,7721.38
TXN1019660,CUST102442,2024-01-02,Debit,Utilities,ATM,3592.41,6409.27
TXN1000354,CUST100045,2024-01-02,Debit,Investment,ATM,20678.62,233060.27
TXN1025868,CUST103224,2024-01-02,Debit,EMI,Net Banking,12198.88,88992.93
TXN1009832,CUST101224,2024-01-02,Debit,Shopping,Credit Card,10494.8,128949.12
TXN1003275,CUST100407,2024-01-02,Debit,Dining,ATM,1607.88,8105.93
TXN1004675,CUST100578,2024-01-02,Debit,ATM Withdrawal,ATM,2582.62,47262.88
TXN1017888,CUST102219,2024-01-02,Debit,Shopping,ATM,6695.12,76674.76
TXN1009844,CUST101225,2024-01-02,Debit,Transfer Out,UPI,8073.66,56982.85
TXN1037926,CUST104734,2024-01-02,Debit,ATM Withdrawal,UPI,9986.3,223146.19
TXN1034745,CUST104331,2024-01-02,Debit,Shopping,Debit Card,613.01,94055.58
TXN1029555,CUST103686,2024-01-02,Credit,Transfer In,Net Banking,12138.24,183835.5
TXN1012637,CUST101570,2024-01-02,Debit,Travel,Net Banking,26580.91,48753.63
TXN1003332,CUST100413,2024-01-02,Credit,Salary,ATM,56205.25,189639.91
TXN1017002,CUST102107,2024-01-02,Credit,Transfer In,UPI,4854.26,65085.17
TXN1012627,CUST101568,2024-01-02,Debit,ATM Withdrawal,ATM,10218.65,5560.46
TXN1039852,CUST104972,2024-01-02,Debit,Shopping,UPI,10950.65,16308.44
TXN1036392,CUST104539,2024-01-02,Debit,Transfer Out,UPI,2617.12,66232.56
TXN1004323,CUST100536,2024-01-02,Debit,Travel,Debit Card,3602.43,31979.93
TXN1019770,CUST102457,2024-01-02,Debit,Utilities,UPI,4994.82,24102.57
TXN1017077,CUST102117,2024-01-02,Debit,Travel,UPI,13017.51,13700.35
TXN1017357,CUST102150,2024-01-02,Debit,Travel,Net Banking,4868.75,145294.83
TXN1029792,CUST103716,2024-01-02,Debit,Utilities,UPI,4797.58,22014.16
TXN1007661,CUST100949,2024-01-02,Debit,EMI,UPI,922.91,35620.91
TXN1031273,CUST103903,2024-01-02,Debit,Insurance,UPI,14436.15,169510.82
TXN1015063,CUST101869,2024-01-02,Debit,ATM Withdrawal,UPI,4994.76,77957.46
TXN1004842,CUST100598,2024-01-02,Credit,Transfer In,ATM,27860.47,104154.7
TXN1033143,CUST104135,2024-01-02,Debit,Dining,UPI,11952.26,178774.16
TXN1039060,CUST104871,2024-01-02,Debit,ATM Withdrawal,UPI,8228.5,56282.89
TXN1025570,CUST103186,2024-01-02,Debit,ATM Withdrawal,Credit Card,24765.51,67586.83
TXN1010357,CUST101291,2024-01-02,Credit,Transfer In,UPI,15201.88,179624.67
TXN1017477,CUST102165,2024-01-02,Debit,Shopping,Branch,8584.89,60934.57
TXN1029884,CUST103729,2024-01-02,Debit,Investment,ATM,2118.9,45034.73
TXN1001876,CUST100242,2024-01-02,Debit,Shopping,Debit Card,6034.35,14793.52
TXN1002414,CUST100303,2024-01-02,Debit,Utilities,ATM,29480.47,124486.42
TXN1037351,CUST104664,2024-01-02,Debit,Travel,Credit Card,10542.24,14546.89
TXN1021972,CUST102735,2024-01-02,Debit,Dining,Debit Card,18677.89,17169.91
TXN1037673,CUST104702,2024-01-02,Credit,Salary,Net Banking,12981.63,29928.81
TXN1039996,CUST104991,2024-01-02,Credit,Transfer In,UPI,11539.2,85687.54
TXN1008317,CUST101032,2024-01-02,Debit,Utilities,ATM,4421.14,37892.16
TXN1027687,CUST103456,2024-01-02,Credit,Salary,Branch,17964.42,30386.53
TXN1002530,CUST100318,2024-01-02,Credit,Salary,UPI,82276.21,291231.68
TXN1027665,CUST103453,2024-01-02,Debit,Travel,Net Banking,18106.57,117557.07
TXN1004830,CUST100596,2024-01-02,Debit,Dining,Net Banking,8063.19,32814.08
TXN1019861,CUST102467,2024-01-02,Debit,Utilities,Net Banking,10464.95,54443.03
TXN1001828,CUST100236,2024-01-02,Debit,Investment,Branch,29367.54,82205.14
TXN1037854,CUST104724,2024-01-02,Debit,Utilities,UPI,22150.11,42073.53
TXN1021505,CUST102675,2024-01-02,Credit,Salary,UPI,13953.6,25371.88
TXN1035547,CUST104433,2024-01-02,Credit,Salary,Branch,50235.5,115045.09
TXN1017746,CUST102201,2024-01-02,Credit,Transfer In,UPI,2133.56,14963.26
TXN1002389,CUST100301,2024-01-02,Debit,Transfer Out,UPI,6413.9,55143.36
TXN1007459,CUST100924,2024-01-02,Debit,Utilities,Debit Card,832.78,35552.66
TXN1039379,CUST104913,2024-01-02,Debit,Utilities,UPI,2520.16,41747.25
TXN1023790,CUST102964,2024-01-02,Credit,Salary,UPI,74958.54,120092.5
TXN1007464,CUST100924,2024-01-02,Debit,Travel,Debit Card,8566.83,11571.98
TXN1023815,CUST102967,2024-01-02,Debit,Travel,UPI,3784.88,22530.91
TXN1016684,CUST102070,2024-01-02,Debit,Shopping,UPI,3735.96,48724.26
TXN1014327,CUST101779,2024-01-02,Debit,EMI,UPI,467.53,40208.87
TXN1010547,CUST101316,2024-01-02,Debit,Travel,UPI,6275.06,26855.74
TXN1036205,CUST104515,2024-01-02,Debit,Investment,ATM,2543.55,97979.0
TXN1004718,CUST100583,2024-01-02,Debit,EMI,UPI,9386.39,111686.65
