application_id,customer_id,application_date,loan_type,loan_purpose,requested_amount,loan_term_months,interest_rate,applicant_monthly_income,existing_emi,debt_to_income_ratio,collateral_flag,approval_status,approved_amount,decision_date,disbursed_flag,loan_default
APP800014,CUST101666,2022-12-26,Personal,Home Renovation,1247000,12,21.68,20400,6200,3.0,1,Rejected,0,2023-01-09,0,
APP800015,CUST102218,2023-01-09,Business,Working Capital,1694000,48,15.7,130900,8200,0.428,0,Rejected,0,2023-01-15,0,
APP800016,CUST102623,2024-05-03,Personal,Wedding,1337000,48,12.45,36600,10000,1.245,0,Rejected,0,2024-05-12,0,
APP800017,CUST101755,2022-10-23,Gold,Gold Loan,313000,12,12.52,10000,400,2.829,1,Rejected,0,2022-11-01,0,
APP800018,CUST103744,2024-04-14,Education,Skill Certification,1274000,12,9.49,10000,300,3.0,0,Rejected,0,2024-05-01,0,
APP800019,CUST102542,2022-09-13,Home,Home Purchase,2180000,240,9.07,40600,4700,0.601,1,Approved,1984000,2022-10-01,1,0
APP800020,CUST100604,2024-02-28,Education,Skill Certification,510000,84,10.35,84000,23000,0.376,0,Approved,436000,2024-03-05,1,0
APP800021,CUST104834,2023-08-13,Auto,New Car,719000,48,9.01,43100,3600,0.498,1,Approved,538000,2023-08-23,1,1
APP800022,CUST101020,2023-04-17,Gold,Gold Loan,220000,12,11.99,44800,6000,0.57,1,Approved,217000,2023-04-24,1,0
APP800023,CUST103865,2024-04-28,Gold,Gold Loan,302000,24,13.79,40200,8400,0.569,1,Approved,229000,2024-05-06,1,1
APP800024,CUST104882,2023-06-12,Personal,Travel,833000,60,11.59,22100,0,0.83,0,Rejected,0,2023-06-18,0,
APP800025,CUST101755,2022-10-25,Personal,Travel,1236000,48,19.29,10000,3200,3.0,0,Rejected,0,2022-10-27,0,
APP800026,CUST103746,2024-01-15,Gold,Gold Loan,181000,36,9.98,27700,1500,0.265,1,Rejected,0,2024-02-03,0,
APP800027,CUST103097,2022-11-22,Personal,Home Renovation,441000,60,12.34,50800,10700,0.406,0,Rejected,0,2022-11-25,0,
APP800028,CUST102225,2023-02-05,Home,Home Construction,2072000,240,9.06,24500,5700,0.996,1,Approved,1551000,2023-02-23,1,0
APP800029,CUST102212,2022-11-14,Business,Equipment Purchase,1929000,48,18.22,19900,2500,2.979,0,Rejected,0,2022-11-20,0,
APP800030,CUST100809,2024-05-01,Home,Home Purchase,10140000,84,8.95,58400,17800,3.0,1,Approved,9867000,2024-05-02,1,1
APP800031,CUST101390,2023-10-20,Auto,Used Car,922000,24,13.43,117100,11000,0.47,1,Approved,893000,2023-11-02,1,0
APP800032,CUST104315,2024-05-17,Gold,Gold Loan,678000,12,13.51,62200,19800,1.294,1,Rejected,0,2024-06-03,0,
APP800033,CUST100549,2022-07-16,Education,Study Abroad,1260000,24,11.53,23600,3300,2.637,0,Rejected,0,2022-07-30,0,
APP800034,CUST104615,2023-07-12,Personal,Home Renovation,533000,12,15.21,16600,3700,3.0,0,Rejected,0,2023-07-17,0,
APP800035,CUST102435,2024-02-11,Home,Plot Purchase,4916000,180,9.32,40200,6600,1.428,1,Rejected,0,2024-02-14,0,
APP800036,CUST103918,2023-08-22,Personal,Debt Consolidation,1379000,60,19.65,12100,500,3.0,0,Rejected,0,2023-09-11,0,
APP800037,CUST100392,2023-03-09,Personal,Medical Emergency,410000,84,22.51,123600,10000,0.16,0,Approved,391000,2023-03-25,1,0
APP800038,CUST101088,2022-12-02,Personal,Wedding,1256000,24,13.18,30200,200,1.988,0,Approved,1199000,2022-12-06,1,1
APP800039,CUST102151,2023-10-31,Personal,Debt Consolidation,1346000,36,22.78,39000,8200,1.543,1,Approved,968000,2023-11-10,1,1
APP800040,CUST104774,2023-09-30,Business,Business Expansion,1864000,48,16.61,58100,19600,1.257,0,Approved,1688000,2023-10-17,1,0
APP800041,CUST100457,2024-05-23,Home,Home Construction,6703000,60,10.34,23300,2400,3.0,1,Rejected,0,2024-05-31,0,
APP800042,CUST100207,2023-01-17,Education,Skill Certification,571000,12,11.58,21000,3900,2.601,0,Rejected,0,2023-01-23,0,
APP800043,CUST100926,2023-05-10,Home,Home Construction,9384000,48,8.95,26400,6600,3.0,1,Rejected,0,2023-05-24,0,
APP800044,CUST104717,2023-01-14,Personal,Debt Consolidation,1178000,36,12.65,30700,200,1.294,0,Rejected,0,2023-01-30,0,
APP800045,CUST104424,2023-08-10,Home,Plot Purchase,2184000,48,9.95,12600,3000,3.0,1,Rejected,0,2023-08-11,0,
APP800046,CUST102105,2023-01-05,Gold,Gold Loan,37000,24,13.9,43000,2300,0.095,1,Approved,29000,2023-01-11,1,0
APP800047,CUST101651,2022-07-26,Home,Home Construction,8741000,48,9.48,149400,4400,1.498,1,Approved,8114000,2022-08-12,1,0
APP800048,CUST103681,2023-04-17,Auto,New Car,803000,48,12.37,74800,1500,0.305,1,Approved,638000,2023-04-21,1,0
APP800049,CUST104088,2022-08-26,Education,Higher Studies India,1438000,12,10.54,50300,5000,2.618,0,Approved,1250000,2022-08-29,1,1
APP800050,CUST102535,2022-11-24,Personal,Wedding,1197000,12,17.35,10000,100,3.0,0,Rejected,0,2022-12-06,0,
APP800051,CUST100761,2023-09-16,Education,Higher Studies India,3432000,84,12.75,38800,900,1.62,0,Rejected,0,2023-09-26,0,
APP800052,CUST104458,2022-10-08,Business,Business Expansion,4316000,60,16.6,18200,4300,3.0,0,Rejected,0,2022-10-23,0,
APP800053,CUST103408,2024-03-30,Auto,New Car,810000,48,11.9,74400,4900,0.352,1,Approved,613000,2024-04-11,1,0
APP800054,CUST101680,2022-09-13,Personal,Medical Emergency,445000,84,12.98,14600,800,0.607,0,Rejected,0,2022-09-29,0,
APP800055,CUST102977,2024-01-29,Personal,Medical Emergency,1083000,84,12.64,76900,13000,0.422,1,Approved,885000,2024-02-04,1,0
APP800056,CUST100297,2023-05-19,Personal,Debt Consolidation,936000,48,15.84,100600,32700,0.588,0,Rejected,0,2023-05-21,0,
APP800057,CUST103776,2023-08-29,Personal,Travel,106000,36,13.49,59200,14700,0.309,0,Approved,93000,2023-09-13,1,0
APP800058,CUST103716,2024-03-20,Education,Skill Certification,451000,60,11.61,17900,1200,0.622,1,Rejected,0,2024-04-03,0,
APP800059,CUST104571,2024-03-17,Auto,Two Wheeler,938000,12,11.53,71900,16100,1.381,1,Rejected,0,2024-03-19,0,
APP800060,CUST102863,2024-05-27,Education,Higher Studies India,2879000,120,11.32,57000,10500,0.89,0,Approved,2298000,2024-06-01,1,0
APP800061,CUST102532,2024-03-29,Auto,Two Wheeler,1860000,36,9.13,10900,1300,3.0,1,Rejected,0,2024-04-08,0,
APP800062,CUST102448,2023-12-09,Auto,New Car,850000,84,13.19,51000,7800,0.458,1,Approved,831000,2023-12-19,1,0
APP800063,CUST104957,2023-03-06,Personal,Home Renovation,686000,48,18.43,149200,21100,0.278,0,Approved,644000,2023-03-14,1,0
APP800064,CUST104448,2023-11-02,Home,Balance Transfer,8039000,180,9.63,39500,12000,2.445,1,Rejected,0,2023-11-12,0,
APP800065,CUST103887,2023-04-12,Business,Working Capital,3527000,12,19.96,36300,1900,3.0,0,Rejected,0,2023-04-28,0,
APP800066,CUST104414,2023-10-08,Personal,Home Renovation,62000,36,19.93,124100,20000,0.18,0,Rejected,0,2023-10-21,0,
APP800067,CUST101216,2023-07-01,Auto,Two Wheeler,2272000,48,9.61,172000,48800,0.616,1,Approved,1664000,2023-07-15,1,0
APP800068,CUST103351,2024-05-03,Personal,Debt Consolidation,1322000,36,20.78,14500,2600,3.0,0,Rejected,0,2024-05-10,0,
APP800069,CUST104482,2022-10-03,Gold,Gold Loan,282000,24,11.07,42700,9600,0.533,1,Approved,229000,2022-10-15,1,0
APP800070,CUST104210,2023-10-22,Auto,Used Car,597000,84,13.35,20000,6800,0.889,1,Approved,488000,2023-11-06,1,0
APP800071,CUST100707,2024-05-29,Personal,Home Renovation,548000,48,14.54,28800,8400,0.817,0,Rejected,0,2024-06-01,0,
APP800072,CUST104521,2024-04-29,Home,Home Construction,2866000,84,9.91,37200,10100,1.546,1,Approved,2595000,2024-05-12,1,0
APP800073,CUST103780,2024-03-27,Education,Study Abroad,2643000,48,10.6,64600,2500,1.089,0,Rejected,0,2024-03-30,0,
APP800074,CUST104180,2023-04-21,Home,Plot Purchase,5653000,120,10.01,10000,2300,3.0,1,Rejected,0,2023-05-02,0,
APP800075,CUST103563,2023-10-16,Education,Skill Certification,1498000,48,11.3,18200,3800,2.35,0,Rejected,0,2023-10-18,0,
APP800076,CUST101132,2024-02-25,Auto,Used Car,1017000,36,12.5,23500,2000,1.534,1,Rejected,0,2024-02-28,0,
APP800077,CUST102355,2024-02-12,Home,Home Purchase,11880000,24,9.72,117900,38400,3.0,1,Approved,8325000,2024-03-02,1,0
APP800078,CUST103256,2024-01-05,Personal,Medical Emergency,1285000,84,13.91,102700,500,0.239,0,Approved,927000,2024-01-07,1,0
APP800079,CUST100932,2022-12-22,Home,Plot Purchase,4541000,84,9.32,80600,17700,1.135,1,Approved,4051000,2022-12-27,1,0
APP800080,CUST102322,2024-06-18,Business,Business Expansion,2970000,24,12.58,28300,5500,3.0,1,Under Review,0,,0,
APP800081,CUST101955,2023-02-12,Education,Skill Certification,1348000,12,11.24,125500,30100,1.191,0,Approved,1151000,2023-02-16,1,0
APP800082,CUST101952,2023-03-29,Personal,Home Renovation,1206000,36,11.53,14400,3800,3.0,0,Rejected,0,2023-04-10,0,
APP800083,CUST103933,2022-11-20,Personal,Travel,440000,12,23.52,19800,5600,2.381,0,Approved,424000,2022-12-07,1,0
APP800084,CUST103668,2023-03-28,Personal,Wedding,1429000,60,16.06,18500,5900,2.197,0,Rejected,0,2023-04-15,0,
APP800085,CUST101131,2023-11-05,Education,Higher Studies India,3608000,60,10.69,10000,1200,3.0,1,Rejected,0,2023-11-06,0,
APP800086,CUST101825,2024-06-02,Personal,Wedding,844000,36,19.52,37100,6500,1.016,0,Under Review,0,,0,
APP800087,CUST101171,2024-05-28,Home,Home Construction,3881000,60,9.64,34700,6300,2.536,1,Rejected,0,2024-06-15,0,
APP800088,CUST101005,2023-05-30,Personal,Travel,1414000,84,15.69,76100,25400,0.699,0,Approved,1276000,2023-06-06,1,0
APP800089,CUST101346,2024-01-12,Home,Home Construction,9925000,36,8.24,46400,15200,3.0,1,Rejected,0,2024-01-14,0,
APP800090,CUST102200,2023-07-24,Auto,Used Car,591000,12,9.65,41400,13800,1.586,1,Approved,535000,2023-07-30,1,0
APP800091,CUST101571,2023-03-28,Personal,Debt Consolidation,546000,60,12.76,68900,1100,0.195,0,Approved,534000,2023-03-29,1,0
APP800092,CUST101597,2022-12-30,Personal,Travel,1142000,84,22.32,16700,5400,1.935,0,Rejected,0,2023-01-06,0,
APP800093,CUST100555,2023-01-19,Business,Business Expansion,2072000,36,12.1,63200,14300,1.318,1,Approved,2036000,2023-02-03,1,1
APP800094,CUST102858,2023-06-02,Business,Equipment Purchase,4286000,36,19.13,20300,500,3.0,0,Approved,3850000,2023-06-11,1,0
APP800095,CUST102266,2023-04-07,Business,Business Expansion,3846000,36,12.45,33500,7600,3.0,0,Approved,2812000,2023-04-16,1,1
APP800096,CUST102880,2023-05-16,Education,Higher Studies India,2859000,60,10.8,277200,78800,0.507,0,Approved,2543000,2023-05-23,1,0
APP800097,CUST104944,2023-03-29,Personal,Medical Emergency,1396000,48,19.34,10000,900,3.0,0,Rejected,0,2023-04-14,0,
APP800098,CUST102935,2023-07-13,Home,Plot Purchase,8732000,240,8.58,51600,5300,1.578,1,Rejected,0,2023-07-23,0,
APP800099,CUST104909,2023-06-07,Home,Balance Transfer,3365000,48,8.12,62500,10200,1.48,1,Approved,2475000,2023-06-14,1,1
APP800100,CUST103488,2023-02-17,Personal,Medical Emergency,724000,24,22.09,20500,2100,1.938,1,Rejected,0,2023-02-24,0,
APP800101,CUST104194,2023-01-10,Home,Home Construction,2891000,60,10.08,21500,4600,3.0,1,Rejected,0,2023-01-18,0,
APP800102,CUST103317,2023-06-05,Gold,Gold Loan,432000,12,9.28,14800,4900,2.886,1,Rejected,0,2023-06-15,0,
APP800103,CUST103517,2023-05-12,Personal,Wedding,1434000,60,19.72,33800,900,1.144,0,Rejected,0,2023-05-27,0,
APP800104,CUST102821,2023-10-13,Education,Study Abroad,3736000,12,9.9,61100,10600,3.0,0,Rejected,0,2023-10-22,0,
APP800105,CUST103626,2022-08-20,Home,Balance Transfer,1895000,12,8.9,45600,15200,3.0,1,Rejected,0,2022-08-30,0,
APP800106,CUST104202,2023-04-27,Auto,Two Wheeler,1477000,24,9.54,35400,4200,2.035,1,Rejected,0,2023-05-14,0,
APP800107,CUST103430,2024-01-24,Personal,Travel,1061000,12,16.02,16400,3400,3.0,0,Rejected,0,2024-02-01,0,
APP800108,CUST100408,2022-11-12,Personal,Home Renovation,1241000,48,14.68,49700,700,0.704,0,Rejected,0,2022-11-17,0,
APP800109,CUST103098,2023-02-02,Home,Plot Purchase,2020000,24,8.02,43200,6400,2.262,1,Rejected,0,2023-02-13,0,
APP800110,CUST104179,2022-10-03,Business,Working Capital,5154000,36,13.86,54700,7100,3.0,0,Rejected,0,2022-10-16,0,
APP800111,CUST101791,2022-08-27,Education,Skill Certification,3516000,48,10.19,33700,6500,2.845,1,Rejected,0,2022-09-07,0,
APP800112,CUST102075,2022-10-24,Personal,Travel,825000,84,15.02,68800,15800,0.461,0,Approved,686000,2022-11-03,1,1
APP800113,CUST101486,2023-05-13,Personal,Medical Emergency,1189000,84,17.92,21800,5400,1.391,0,Rejected,0,2023-05-23,0,
APP800114,CUST100273,2023-04-27,Home,Home Purchase,2069000,180,9.77,29500,8100,1.02,1,Approved,2041000,2023-04-29,1,0
APP800115,CUST103265,2023-02-16,Personal,Wedding,1428000,12,20.22,16800,1400,3.0,0,Rejected,0,2023-02-20,0,
APP800116,CUST104551,2023-03-15,Auto,Used Car,577000,24,10.74,43100,4000,0.716,1,Approved,514000,2023-03-18,1,0
APP800117,CUST101147,2023-11-02,Gold,Gold Loan,248000,12,13.37,38200,2500,0.647,1,Rejected,0,2023-11-10,0,
APP800118,CUST102793,2022-09-06,Business,Business Expansion,6833000,36,17.34,20400,1300,3.0,0,Rejected,0,2022-09-08,0,
APP800119,CUST102648,2023-02-14,Business,Working Capital,1822000,24,14.0,49400,6200,1.897,1,Rejected,0,2023-02-19,0,
APP800120,CUST101569,2022-08-01,Personal,Home Renovation,161000,24,12.22,45300,8100,0.347,0,Approved,117000,2022-08-13,1,0
APP800121,CUST102529,2023-01-21,Home,Balance Transfer,8897000,84,9.59,22900,7600,3.0,1,Rejected,0,2023-02-03,0,
APP800122,CUST102276,2023-09-22,Auto,Used Car,417000,12,13.87,16100,3400,2.533,1,Approved,340000,2023-10-04,1,1
APP800123,CUST101051,2022-12-25,Business,Working Capital,4094000,60,16.51,24200,5900,3.0,0,Rejected,0,2023-01-03,0,
APP800124,CUST100418,2022-08-01,Auto,New Car,2100000,12,9.85,75700,6700,2.524,1,Rejected,0,2022-08-03,0,
APP800125,CUST103042,2022-08-07,Personal,Debt Consolidation,656000,36,20.09,85600,25100,0.579,0,Rejected,0,2022-08-22,0,
APP800126,CUST104342,2023-02-20,Personal,Home Renovation,1034000,12,23.65,49100,16300,2.319,0,Rejected,0,2023-02-25,0,
APP800127,CUST101315,2023-02-03,Auto,New Car,1869000,60,9.08,33000,9900,1.478,1,Approved,1726000,2023-02-11,1,0
APP800128,CUST102213,2023-02-13,Education,Skill Certification,3831000,120,10.26,73600,13300,0.876,1,Approved,2778000,2023-02-15,1,1
APP800129,CUST103022,2022-09-19,Business,Equipment Purchase,3336000,60,19.57,53800,14300,1.892,0,Rejected,0,2022-10-06,0,
APP800130,CUST104084,2022-08-25,Business,Working Capital,5802000,84,18.5,18900,5400,3.0,1,Rejected,0,2022-09-01,0,
APP800131,CUST100713,2022-09-19,Education,Skill Certification,2047000,60,10.61,20600,1500,2.212,0,Rejected,0,2022-10-04,0,
APP800132,CUST100335,2022-09-17,Personal,Wedding,1360000,84,18.2,64800,10600,0.607,0,Approved,1138000,2022-09-30,1,0
APP800133,CUST101022,2024-02-27,Home,Home Purchase,9290000,24,8.06,136700,24300,3.0,1,Rejected,0,2024-03-01,0,
APP800134,CUST104205,2023-11-13,Business,Working Capital,1011000,84,12.76,13000,3400,1.666,0,Approved,977000,2023-11-22,1,0
APP800135,CUST103038,2023-12-09,Home,Home Construction,9599000,12,9.57,12100,3600,3.0,1,Rejected,0,2023-12-10,0,
APP800136,CUST100052,2024-05-23,Auto,Two Wheeler,2117000,12,12.62,12600,3200,3.0,1,Rejected,0,2024-06-07,0,
APP800137,CUST104084,2023-07-13,Home,Home Purchase,8460000,24,8.55,18900,1200,3.0,1,Rejected,0,2023-07-26,0,
APP800138,CUST101956,2023-09-25,Auto,New Car,521000,24,10.44,21200,2700,1.265,1,Approved,509000,2023-10-15,1,0
APP800139,CUST100516,2023-10-01,Personal,Home Renovation,1465000,36,11.25,56300,7200,0.983,0,Approved,1323000,2023-10-12,1,0
APP800140,CUST100982,2023-01-25,Personal,Debt Consolidation,1018000,84,11.5,146900,19800,0.255,0,Approved,936000,2023-02-10,1,0
APP800141,CUST102156,2024-06-11,Auto,Two Wheeler,2310000,48,12.54,41900,12900,1.776,1,Rejected,0,2024-06-24,0,
APP800142,CUST102087,2023-03-11,Personal,Travel,1038000,60,18.0,40300,2500,0.717,0,Approved,880000,2023-03-19,1,0
APP800143,CUST101538,2024-01-04,Personal,Travel,1271000,24,21.85,27300,7100,2.674,0,Rejected,0,2024-01-05,0,
APP800144,CUST104102,2023-03-02,Gold,Gold Loan,475000,12,13.21,36300,2400,1.236,1,Rejected,0,2023-03-18,0,
APP800145,CUST100233,2024-06-28,Business,Equipment Purchase,1531000,36,18.09,23800,800,2.36,0,Rejected,0,2024-07-04,0,
APP800146,CUST103924,2023-09-13,Auto,Used Car,2321000,84,12.03,54200,6100,0.87,1,Approved,1705000,2023-09-29,1,1
APP800147,CUST104537,2023-10-30,Business,Business Expansion,4494000,12,13.2,65000,9200,3.0,0,Rejected,0,2023-11-15,0,
APP800148,CUST100424,2023-05-29,Gold,Gold Loan,179000,36,10.62,36300,9200,0.414,1,Approved,162000,2023-06-10,1,0
APP800149,CUST103528,2024-02-14,Personal,Travel,1160000,36,21.62,13400,1900,3.0,1,Rejected,0,2024-03-01,0,
APP800150,CUST101003,2024-01-05,Personal,Travel,315000,24,13.7,46400,12000,0.584,0,Approved,272000,2024-01-10,1,1
APP800151,CUST104903,2024-05-31,Business,Equipment Purchase,3876000,36,15.36,31400,700,3.0,0,Approved,2791000,2024-06-12,1,0
APP800152,CUST103324,2024-05-01,Gold,Gold Loan,420000,12,13.07,47400,10800,1.019,1,Approved,394000,2024-05-10,1,1
APP800153,CUST101051,2023-09-13,Personal,Wedding,1006000,84,15.52,24200,300,0.827,0,Rejected,0,2023-09-15,0,
APP800154,CUST102919,2023-08-03,Personal,Medical Emergency,873000,48,11.73,43200,10300,0.768,0,Approved,715000,2023-08-17,1,0
APP800155,CUST104267,2022-07-12,Gold,Gold Loan,700000,12,14.14,39200,2600,1.671,1,Rejected,0,2022-07-20,0,
APP800156,CUST101243,2023-11-14,Personal,Debt Consolidation,1155000,12,16.65,10000,1500,3.0,0,Rejected,0,2023-11-23,0,
APP800157,CUST102627,2023-04-14,Business,Equipment Purchase,2234000,60,18.49,10000,2300,3.0,0,Rejected,0,2023-05-02,0,
APP800158,CUST102571,2022-10-03,Home,Balance Transfer,10028000,180,8.91,18400,1900,3.0,1,Rejected,0,2022-10-12,0,
APP800159,CUST104370,2023-06-10,Home,Home Construction,5009000,12,8.29,40700,2400,3.0,1,Approved,4445000,2023-06-25,1,1
APP800160,CUST103994,2022-11-23,Personal,Debt Consolidation,108000,60,13.96,10000,2400,0.491,0,Approved,90000,2022-12-12,1,0
APP800161,CUST102639,2022-09-12,Personal,Debt Consolidation,717000,48,12.93,39400,5400,0.624,0,Approved,571000,2022-09-30,1,0
APP800162,CUST103040,2022-08-30,Personal,Home Renovation,86000,36,19.3,105300,27800,0.294,1,Approved,80000,2022-09-08,1,0
APP800163,CUST104858,2024-06-22,Gold,Gold Loan,317000,12,9.82,69700,22400,0.72,1,Approved,280000,2024-07-11,1,0
APP800164,CUST101863,2023-11-27,Education,Skill Certification,1258000,120,12.15,10000,1400,1.956,0,Rejected,0,2023-12-12,0,
APP800165,CUST104113,2022-07-22,Personal,Wedding,177000,24,20.45,38200,11700,0.543,0,Approved,171000,2022-08-04,1,1
APP800166,CUST100511,2023-07-19,Gold,Gold Loan,453000,36,11.73,120900,41600,0.468,1,Approved,342000,2023-07-31,1,0
APP800167,CUST101796,2022-12-10,Home,Home Purchase,6276000,120,8.2,26700,100,2.882,1,Rejected,0,2022-12-21,0,
APP800168,CUST102789,2023-02-27,Personal,Travel,245000,24,18.54,121800,16900,0.24,0,Approved,236000,2023-03-05,1,0
APP800169,CUST102167,2023-04-04,Business,Working Capital,5450000,84,16.28,50400,1900,2.201,1,Approved,4705000,2023-04-13,1,1
APP800170,CUST104545,2023-02-07,Personal,Debt Consolidation,1054000,12,16.04,26100,4200,3.0,0,Approved,944000,2023-02-16,1,0
APP800171,CUST103588,2023-05-08,Home,Home Construction,8220000,180,9.19,50400,1400,1.702,1,Approved,8104000,2023-05-17,1,0
APP800172,CUST103343,2023-03-23,Home,Home Construction,5413000,60,9.88,64200,19900,2.095,1,Approved,5138000,2023-04-08,1,1
APP800173,CUST102219,2023-12-22,Home,Plot Purchase,1592000,180,10.27,31500,10400,0.88,1,Approved,1171000,2023-12-30,1,0
APP800174,CUST100457,2023-07-12,Auto,Two Wheeler,1002000,12,11.51,23300,1600,3.0,1,Rejected,0,2023-07-22,0,
APP800175,CUST101780,2023-06-18,Personal,Home Renovation,1065000,24,18.28,43800,9600,1.435,0,Approved,869000,2023-07-02,1,1
APP800176,CUST101413,2024-04-09,Education,Skill Certification,3164000,24,12.07,36900,5000,3.0,0,Rejected,0,2024-04-18,0,
APP800177,CUST103753,2022-08-04,Education,Higher Studies India,1591000,24,9.81,100700,9100,0.818,0,Approved,1161000,2022-08-11,1,0
APP800178,CUST103922,2022-08-12,Personal,Medical Emergency,322000,36,18.08,35800,5600,0.482,0,Approved,253000,2022-08-26,1,0
APP800179,CUST101151,2024-01-21,Home,Home Purchase,3547000,240,8.53,58900,5300,0.614,1,Approved,3122000,2024-01-26,1,1
APP800180,CUST102801,2023-06-21,Gold,Gold Loan,453000,12,10.77,12600,800,3.0,1,Rejected,0,2023-07-02,0,
APP800181,CUST101133,2023-01-27,Auto,Two Wheeler,1807000,60,13.21,29000,3100,1.531,1,Rejected,0,2023-02-16,0,
APP800182,CUST100528,2024-04-13,Business,Working Capital,3647000,48,18.56,30900,2800,3.0,0,Rejected,0,2024-04-18,0,
APP800183,CUST101916,2022-07-22,Gold,Gold Loan,314000,12,13.59,171700,59400,0.51,1,Approved,251000,2022-07-26,1,0
APP800184,CUST104597,2022-11-25,Home,Balance Transfer,5212000,36,9.15,28500,900,3.0,1,Rejected,0,2022-12-06,0,
APP800185,CUST103814,2022-07-06,Personal,Home Renovation,168000,60,13.38,116700,3000,0.059,0,Approved,152000,2022-07-07,1,0
APP800186,CUST104781,2023-06-09,Auto,Two Wheeler,333000,84,10.06,72500,7300,0.177,1,Approved,299000,2023-06-14,1,0
APP800187,CUST103928,2023-02-28,Education,Skill Certification,2748000,84,11.66,28600,2500,1.769,0,Approved,2744000,2023-03-20,1,1
APP800188,CUST104175,2023-05-30,Home,Balance Transfer,10909000,120,8.46,31500,3200,3.0,1,Rejected,0,2023-06-07,0,
APP800189,CUST101777,2023-03-14,Personal,Medical Emergency,1126000,12,23.68,42800,11800,2.756,1,Rejected,0,2023-03-23,0,
APP800190,CUST103596,2023-12-09,Auto,Used Car,2303000,84,9.26,35800,3700,1.146,1,Approved,1792000,2023-12-27,1,0
APP800191,CUST101230,2023-05-04,Gold,Gold Loan,712000,36,14.32,40700,10600,0.861,1,Rejected,0,2023-05-13,0,
APP800192,CUST104911,2024-06-27,Gold,Gold Loan,538000,12,10.97,126900,43200,0.715,1,Approved,521000,2024-07-03,1,0
APP800193,CUST104300,2023-08-17,Personal,Wedding,359000,60,23.56,28500,4200,0.507,0,Approved,298000,2023-08-27,1,0
APP800194,CUST102153,2023-02-14,Business,Equipment Purchase,1748000,84,17.8,10000,3500,3.0,0,Rejected,0,2023-02-26,0,
APP800195,CUST100227,2023-06-08,Education,Skill Certification,940000,120,9.25,29600,6600,0.63,1,Rejected,0,2023-06-24,0,
APP800196,CUST102173,2024-02-25,Personal,Debt Consolidation,1474000,12,13.28,15100,900,3.0,0,Rejected,0,2024-02-28,0,
APP800197,CUST102540,2022-09-21,Business,Working Capital,2985000,48,17.42,33300,8800,2.874,0,Rejected,0,2022-09-27,0,
APP800198,CUST101552,2023-01-19,Personal,Home Renovation,751000,36,16.59,80000,7900,0.432,0,Approved,743000,2023-02-07,1,0
APP800199,CUST104231,2022-08-08,Business,Equipment Purchase,4752000,24,12.11,39700,11200,3.0,0,Rejected,0,2022-08-28,0,
APP800200,CUST103741,2023-09-29,Business,Equipment Purchase,1518000,12,16.17,19000,5900,3.0,0,Rejected,0,2023-10-16,0,
APP800201,CUST103516,2023-02-26,Auto,New Car,1079000,24,10.01,61000,17000,1.096,1,Approved,767000,2023-03-15,1,0
APP800202,CUST104327,2024-06-10,Home,Home Purchase,3701000,120,9.57,22000,2300,2.286,1,Under Review,0,,0,
APP800203,CUST100823,2024-06-11,Gold,Gold Loan,482000,12,12.47,30600,6600,1.619,1,Approved,476000,2024-06-30,1,1
APP800204,CUST103838,2022-10-15,Personal,Wedding,746000,84,11.14,55800,3100,0.285,0,Approved,699000,2022-11-02,1,0
