credit_id,customer_id,as_of_date,credit_score,num_open_accounts,num_credit_inquiries_6m,credit_utilization_ratio,num_late_payments_30d,num_late_payments_90d,num_defaults_prior,bankruptcies,total_credit_limit,total_outstanding_debt,oldest_account_age_months
CR500110,CUST100110,2024-06-30,474,4,2,0.527,4,0,0,0,49000,25800,224
CR500111,CUST100111,2024-06-30,680,6,0,0.803,1,0,0,0,182000,146100,396
CR500112,CUST100112,2024-06-30,599,4,4,0.344,1,1,1,0,203000,69800,146
CR500113,CUST100113,2024-06-30,669,5,0,0.698,0,0,0,0,439000,306400,136
CR500114,CUST100114,2024-06-30,703,4,2,0.333,0,0,0,0,101000,33600,6
CR500115,CUST100115,2024-06-30,635,8,1,0.497,2,0,0,0,402000,199800,83
CR500116,CUST100116,2024-06-30,585,2,5,0.249,1,1,0,0,63000,15700,44
CR500117,CUST100117,2024-06-30,637,4,2,0.851,4,0,0,0,135000,114900,144
CR500118,CUST100118,2024-06-30,651,4,1,0.423,0,0,0,0,353000,149300,245
CR500119,CUST100119,2024-06-30,767,6,1,0.183,0,0,0,0,801000,146600,379
CR500120,CUST100120,2024-06-30,629,1,0,0.527,2,0,0,0,122000,64300,223
CR500121,CUST100121,2024-06-30,721,4,1,0.467,0,0,0,0,302000,141000,6
CR500122,CUST100122,2024-06-30,405,6,3,0.456,2,0,1,0,84000,38300,413
CR500123,CUST100123,2024-06-30,561,2,5,0.224,0,0,0,0,132000,29600,49
CR500124,CUST100124,2024-06-30,647,2,0,0.539,3,0,0,0,468000,252300,306
CR500125,CUST100125,2024-06-30,514,9,2,0.724,1,0,0,0,29000,21000,347
CR500126,CUST100126,2024-06-30,533,2,2,0.375,2,1,1,0,172000,64500,47
CR500127,CUST100127,2024-06-30,661,6,2,0.229,0,0,0,0,107000,24500,33
CR500128,CUST100128,2024-06-30,650,8,0,0.665,1,0,0,0,376000,250000,64
CR500129,CUST100129,2024-06-30,544,5,2,0.879,0,0,0,0,105000,92300,183
CR500130,CUST100130,2024-06-30,646,5,3,0.476,2,0,0,0,196000,93300,48
CR500131,CUST100131,2024-06-30,547,5,2,0.466,2,1,1,0,130000,60600,201
CR500132,CUST100132,2024-06-30,587,3,2,0.24,0,0,0,0,295000,70800,6
CR500133,CUST100133,2024-06-30,510,2,0,0.539,4,0,0,0,57000,30700,263
CR500134,CUST100134,2024-06-30,600,7,1,0.323,2,0,0,0,138000,44600,17
CR500135,CUST100135,2024-06-30,689,2,2,0.225,0,0,0,0,293000,65900,197
CR500136,CUST100136,2024-06-30,578,2,4,0.455,2,0,0,0,568000,258400,251
CR500137,CUST100137,2024-06-30,547,4,4,0.483,8,3,2,0,168000,81100,215
CR500138,CUST100138,2024-06-30,728,4,3,0.609,1,0,0,0,395000,240600,271
CR500139,CUST100139,2024-06-30,531,2,1,0.238,3,1,3,0,63000,15000,265
CR500140,CUST100140,2024-06-30,673,1,0,0.285,2,0,0,0,305000,86900,209
CR500141,CUST100141,2024-06-30,597,3,4,0.636,3,1,0,0,126000,80100,189
CR500142,CUST100142,2024-06-30,659,1,1,0.279,0,0,0,0,422000,117700,6
CR500143,CUST100143,2024-06-30,746,6,1,0.481,0,0,0,0,1142000,549300,322
CR500144,CUST100144,2024-06-30,720,3,0,0.307,0,0,0,0,129000,39600,222
CR500145,CUST100145,2024-06-30,696,6,1,0.386,0,0,0,0,661000,255100,224
CR500146,CUST100146,2024-06-30,714,6,0,0.519,0,0,0,0,321000,166600,27
CR500147,CUST100147,2024-06-30,624,6,2,0.266,4,0,0,0,130000,34600,261
CR500148,CUST100148,2024-06-30,610,2,0,0.535,7,0,0,0,129000,69000,480
CR500149,CUST100149,2024-06-30,690,3,2,0.358,1,0,0,0,308000,110300,140
CR500150,CUST100150,2024-06-30,640,4,1,0.152,1,0,0,0,122000,18500,140
CR500151,CUST100151,2024-06-30,821,5,1,0.107,2,0,0,0,3613000,386600,200
CR500152,CUST100152,2024-06-30,653,1,2,0.198,3,0,0,0,178000,35200,75
CR500153,CUST100153,2024-06-30,482,1,3,0.809,1,0,2,0,57000,46100,6
CR500154,CUST100154,2024-06-30,676,0,1,0.288,0,0,0,0,125000,36000,119
CR500155,CUST100155,2024-06-30,720,7,2,0.277,0,0,0,0,406000,112500,6
CR500156,CUST100156,2024-06-30,542,2,2,0.471,3,1,3,0,99000,46600,337
CR500157,CUST100157,2024-06-30,679,2,0,0.442,1,0,0,0,265000,117100,183
CR500158,CUST100158,2024-06-30,528,4,2,0.464,2,1,0,0,83000,38500,83
CR500159,CUST100159,2024-06-30,761,5,4,0.239,1,0,0,0,1232000,294400,232
CR500160,CUST100160,2024-06-30,522,4,3,0.406,2,0,0,0,36000,14600,57
CR500161,CUST100161,2024-06-30,733,2,0,0.397,0,0,0,0,357000,141700,291
CR500162,CUST100162,2024-06-30,695,3,4,0.501,0,0,0,0,165000,82700,178
CR500163,CUST100163,2024-06-30,672,3,0,0.295,1,1,0,0,411000,121200,409
CR500164,CUST100164,2024-06-30,658,2,2,0.398,0,0,0,0,115000,45800,118
CR500165,CUST100165,2024-06-30,655,5,2,0.225,1,0,0,0,233000,52400,233
CR500166,CUST100166,2024-06-30,688,8,1,0.448,1,0,0,0,551000,246800,6
CR500167,CUST100167,2024-06-30,676,3,0,0.266,0,0,0,0,655000,174200,38
CR500168,CUST100168,2024-06-30,780,8,1,0.445,0,0,0,0,402000,178900,258
CR500169,CUST100169,2024-06-30,738,5,1,0.377,0,0,0,0,408000,153800,245
CR500170,CUST100170,2024-06-30,519,2,0,0.363,0,0,0,0,91000,33000,74
CR500171,CUST100171,2024-06-30,639,3,1,0.327,1,0,0,0,303000,99100,193
CR500172,CUST100172,2024-06-30,796,3,1,0.205,0,0,0,0,246000,50400,350
CR500173,CUST100173,2024-06-30,650,2,2,0.319,0,0,0,0,280000,89300,358
CR500174,CUST100174,2024-06-30,821,8,1,0.059,0,0,0,0,896000,52900,278
CR500175,CUST100175,2024-06-30,684,3,1,0.155,0,0,0,0,128000,19800,227
CR500176,CUST100176,2024-06-30,627,6,2,0.092,3,0,0,0,411000,37800,142
CR500177,CUST100177,2024-06-30,622,5,0,0.46,4,0,0,0,1008000,463700,18
CR500178,CUST100178,2024-06-30,622,3,0,0.147,5,0,0,0,81000,11900,150
CR500179,CUST100179,2024-06-30,640,5,1,0.351,1,0,0,0,190000,66700,135
CR500180,CUST100180,2024-06-30,703,1,1,0.197,0,0,0,0,955000,188100,295
CR500181,CUST100181,2024-06-30,687,2,2,0.07,1,0,0,0,177000,12400,480
CR500182,CUST100182,2024-06-30,628,2,3,0.232,4,0,0,0,848000,196700,402
CR500183,CUST100183,2024-06-30,658,3,3,0.364,0,0,0,0,390000,142000,6
CR500184,CUST100184,2024-06-30,662,4,1,0.027,0,0,0,0,298000,8000,6
CR500185,CUST100185,2024-06-30,574,3,2,0.095,1,0,1,0,111000,10500,56
CR500186,CUST100186,2024-06-30,639,2,2,0.674,3,0,0,0,320000,215700,74
CR500187,CUST100187,2024-06-30,748,3,1,0.095,0,0,0,0,544000,51700,107
CR500188,CUST100188,2024-06-30,832,6,0,0.272,1,1,0,0,412000,112100,76
CR500189,CUST100189,2024-06-30,654,3,0,0.511,0,0,0,0,218000,111400,6
CR500190,CUST100190,2024-06-30,646,7,1,0.144,2,0,0,0,149000,21500,186
CR500191,CUST100191,2024-06-30,749,6,0,0.156,0,0,0,0,1948000,303900,262
CR500192,CUST100192,2024-06-30,578,5,6,0.464,4,0,0,0,418000,194000,89
CR500193,CUST100193,2024-06-30,667,5,5,0.154,0,0,0,0,600000,92400,438
CR500194,CUST100194,2024-06-30,662,2,0,0.309,3,0,0,0,311000,96100,345
CR500195,CUST100195,2024-06-30,567,4,2,0.355,1,0,0,0,172000,61100,86
CR500196,CUST100196,2024-06-30,580,4,2,0.342,2,1,0,0,163000,55700,209
CR500197,CUST100197,2024-06-30,874,5,1,0.448,0,0,1,0,582000,260700,208
CR500198,CUST100198,2024-06-30,717,2,0,0.637,0,0,0,0,193000,122900,181
CR500199,CUST100199,2024-06-30,581,4,2,0.739,2,0,0,0,71000,52500,366
CR500200,CUST100200,2024-06-30,757,4,0,0.358,0,0,0,0,136000,48700,337
CR500201,CUST100201,2024-06-30,599,2,0,0.363,2,2,0,0,110000,39900,12
CR500202,CUST100202,2024-06-30,400,4,5,0.34,3,3,1,0,80000,27200,279
CR500203,CUST100203,2024-06-30,581,4,3,0.803,1,1,0,0,201000,161400,6
CR500204,CUST100204,2024-06-30,761,3,0,0.488,0,0,0,0,402000,196200,406
CR500205,CUST100205,2024-06-30,407,3,2,0.432,4,0,2,0,76000,32800,209
CR500206,CUST100206,2024-06-30,551,2,4,0.459,3,0,0,0,169000,77600,368
CR500207,CUST100207,2024-06-30,514,3,6,0.557,1,1,1,0,145000,80800,204
CR500208,CUST100208,2024-06-30,759,4,0,0.168,0,0,0,0,1163000,195400,126
CR500209,CUST100209,2024-06-30,569,3,2,0.294,0,0,1,0,82000,24100,86
CR500210,CUST100210,2024-06-30,684,2,0,0.61,0,0,0,0,506000,308700,335
CR500211,CUST100211,2024-06-30,680,3,1,0.698,0,0,0,0,867000,605200,181
CR500212,CUST100212,2024-06-30,684,2,2,0.53,1,0,0,0,585000,310000,206
CR500213,CUST100213,2024-06-30,604,3,2,0.607,0,0,0,0,143000,86800,390
CR500214,CUST100214,2024-06-30,708,6,1,0.239,0,0,0,0,283000,67600,6
CR500215,CUST100215,2024-06-30,702,2,1,0.415,0,0,0,0,582000,241500,217
CR500216,CUST100216,2024-06-30,697,6,2,0.233,1,1,0,0,342000,79700,6
CR500217,CUST100217,2024-06-30,697,3,1,0.108,0,0,0,0,333000,36000,58
CR500218,CUST100218,2024-06-30,651,4,1,0.31,0,0,0,0,209000,64800,310
CR500219,CUST100219,2024-06-30,468,0,5,0.21,2,1,0,0,178000,37400,63
CR500220,CUST100220,2024-06-30,605,3,0,0.325,1,0,0,0,155000,50400,248
CR500221,CUST100221,2024-06-30,490,4,1,0.336,2,1,1,0,101000,33900,6
CR500222,CUST100222,2024-06-30,667,2,1,0.392,0,0,0,0,248000,97200,262
CR500223,CUST100223,2024-06-30,642,2,4,0.762,5,0,0,0,48000,36600,12
CR500224,CUST100224,2024-06-30,820,2,1,0.262,0,0,0,0,1451000,380200,179
CR500225,CUST100225,2024-06-30,802,5,3,0.296,0,0,0,0,656000,194200,112
CR500226,CUST100226,2024-06-30,708,7,0,0.422,2,0,0,0,713000,300900,293
CR500227,CUST100227,2024-06-30,608,3,3,0.469,2,0,1,0,259000,121500,286
CR500228,CUST100228,2024-06-30,627,1,0,0.584,4,0,0,0,151000,88200,128
CR500229,CUST100229,2024-06-30,648,3,1,0.299,3,0,0,0,165000,49300,65
CR500230,CUST100230,2024-06-30,619,5,1,0.341,1,0,1,0,803000,273800,261
CR500231,CUST100231,2024-06-30,636,4,0,0.23,4,0,0,0,177000,40700,312
CR500232,CUST100232,2024-06-30,730,5,1,0.021,0,0,0,0,516000,10800,6
CR500233,CUST100233,2024-06-30,642,4,0,0.443,5,0,0,0,186000,82400,26
CR500234,CUST100234,2024-06-30,617,5,1,0.558,1,0,0,0,273000,152300,230
CR500235,CUST100235,2024-06-30,640,6,0,0.25,4,0,0,0,92000,23000,96
CR500236,CUST100236,2024-06-30,819,3,2,0.023,0,0,0,0,1038000,23900,480
CR500237,CUST100237,2024-06-30,693,8,3,0.093,0,0,0,0,813000,75600,207
CR500238,CUST100238,2024-06-30,563,1,3,0.539,1,1,0,0,171000,92200,271
CR500239,CUST100239,2024-06-30,829,2,2,0.02,0,0,0,0,314000,6300,260
CR500240,CUST100240,2024-06-30,560,4,3,0.577,2,0,0,0,410000,236600,222
CR500241,CUST100241,2024-06-30,779,3,0,0.332,3,0,0,0,427000,141800,228
CR500242,CUST100242,2024-06-30,600,2,0,0.262,3,0,0,0,90000,23600,333
CR500243,CUST100243,2024-06-30,650,0,2,0.357,0,0,0,0,1008000,359900,186
CR500244,CUST100244,2024-06-30,593,2,1,0.368,2,1,0,0,193000,71000,65
CR500245,CUST100245,2024-06-30,629,3,1,0.119,2,0,0,0,537000,63900,91
CR500246,CUST100246,2024-06-30,608,1,1,0.106,4,0,1,0,516000,54700,378
CR500247,CUST100247,2024-06-30,634,5,1,0.395,2,1,0,0,258000,101900,245
CR500248,CUST100248,2024-06-30,673,8,2,0.234,1,1,0,0,451000,105500,259
CR500249,CUST100249,2024-06-30,607,2,1,0.262,3,0,0,0,380000,99600,146
CR500250,CUST100250,2024-06-30,566,2,5,0.644,3,0,0,0,79000,50900,6
CR500251,CUST100251,2024-06-30,582,5,3,0.534,2,2,0,0,216000,115300,298
CR500252,CUST100252,2024-06-30,517,5,4,0.541,6,1,0,0,157000,84900,210
CR500253,CUST100253,2024-06-30,628,2,2,0.492,1,0,0,0,498000,245000,46
CR500254,CUST100254,2024-06-30,694,2,1,0.245,0,0,0,0,484000,118600,288
CR500255,CUST100255,2024-06-30,537,2,4,0.19,0,0,1,0,74000,14100,6
CR500256,CUST100256,2024-06-30,578,3,2,0.808,6,0,0,0,117000,94500,199
CR500257,CUST100257,2024-06-30,704,4,2,0.394,0,0,0,0,532000,209600,42
CR500258,CUST100258,2024-06-30,588,4,1,0.274,5,3,1,0,160000,43800,232
CR500259,CUST100259,2024-06-30,682,1,1,0.428,0,0,0,0,555000,237500,480
CR500260,CUST100260,2024-06-30,604,7,3,0.534,1,1,0,0,164000,87600,119
CR500261,CUST100261,2024-06-30,735,7,1,0.286,0,0,0,0,321000,91800,209
CR500262,CUST100262,2024-06-30,463,5,1,0.529,3,2,2,0,216000,114300,108
CR500263,CUST100263,2024-06-30,679,4,1,0.488,0,0,0,0,292000,142500,259
CR500264,CUST100264,2024-06-30,728,2,1,0.246,1,0,0,0,268000,65900,170
CR500265,CUST100265,2024-06-30,645,3,1,0.325,0,0,1,0,284000,92300,205
CR500266,CUST100266,2024-06-30,573,1,2,0.154,3,0,0,0,275000,42400,108
CR500267,CUST100267,2024-06-30,660,3,1,0.203,1,0,0,0,201000,40800,6
CR500268,CUST100268,2024-06-30,625,3,2,0.466,4,0,0,0,66000,30800,69
CR500269,CUST100269,2024-06-30,685,4,1,0.343,0,0,0,0,169000,58000,40
CR500270,CUST100270,2024-06-30,793,6,0,0.141,0,0,0,0,1069000,150700,229
CR500271,CUST100271,2024-06-30,688,1,1,0.153,1,0,0,0,143000,21900,120
CR500272,CUST100272,2024-06-30,739,4,1,0.372,1,0,1,0,549000,204200,304
CR500273,CUST100273,2024-06-30,650,3,2,0.893,1,1,0,0,197000,175900,51
CR500274,CUST100274,2024-06-30,528,2,2,0.388,3,1,1,0,292000,113300,203
CR500275,CUST100275,2024-06-30,733,8,2,0.519,1,0,0,0,475000,246500,140
CR500276,CUST100276,2024-06-30,653,4,0,0.068,0,0,0,0,270000,18400,250
CR500277,CUST100277,2024-06-30,669,3,1,0.442,0,0,0,0,428000,189200,305
CR500278,CUST100278,2024-06-30,634,0,0,0.156,2,0,0,0,236000,36800,61
CR500279,CUST100279,2024-06-30,662,0,1,0.152,1,0,0,0,124000,18800,136
CR500280,CUST100280,2024-06-30,492,2,5,0.52,3,1,1,0,34000,17700,182
CR500281,CUST100281,2024-06-30,741,4,3,0.517,0,0,0,0,792000,409500,132
CR500282,CUST100282,2024-06-30,605,4,0,0.683,2,0,0,0,191000,130500,201
CR500283,CUST100283,2024-06-30,592,3,4,0.188,1,0,0,0,895000,168300,81
CR500284,CUST100284,2024-06-30,534,0,2,0.846,5,1,0,0,191000,161600,262
CR500285,CUST100285,2024-06-30,641,3,1,0.325,3,0,0,0,57000,18500,239
CR500286,CUST100286,2024-06-30,723,5,2,0.371,0,0,0,0,276000,102400,8
CR500287,CUST100287,2024-06-30,638,4,3,0.599,2,0,0,0,599000,358800,444
CR500288,CUST100288,2024-06-30,546,4,3,0.215,1,1,2,0,417000,89700,200
CR500289,CUST100289,2024-06-30,649,2,2,0.587,3,0,0,0,258000,151400,290
CR500290,CUST100290,2024-06-30,469,3,4,0.709,3,1,1,0,89000,63100,93
CR500291,CUST100291,2024-06-30,770,4,2,0.39,0,0,0,0,377000,147000,187
CR500292,CUST100292,2024-06-30,660,3,2,0.298,0,0,0,0,537000,160000,398
CR500293,CUST100293,2024-06-30,497,3,4,0.479,5,0,0,0,65000,31100,114
CR500294,CUST100294,2024-06-30,546,3,2,0.254,4,2,1,0,152000,38600,290
CR500295,CUST100295,2024-06-30,569,5,0,0.196,2,0,0,0,118000,23100,140
CR500296,CUST100296,2024-06-30,704,2,1,0.222,0,0,0,0,733000,162700,76
CR500297,CUST100297,2024-06-30,706,5,0,0.154,1,0,0,0,378000,58200,147
CR500298,CUST100298,2024-06-30,549,3,2,0.48,2,1,2,0,250000,120000,205
CR500299,CUST100299,2024-06-30,589,2,4,0.1,1,1,1,0,72000,7200,9
CR500300,CUST100300,2024-06-30,725,4,1,0.509,0,0,0,0,402000,204600,213
CR500301,CUST100301,2024-06-30,596,4,5,0.431,1,1,0,0,334000,144000,164
CR500302,CUST100302,2024-06-30,685,3,2,0.392,2,0,0,0,646000,253200,157
CR500303,CUST100303,2024-06-30,755,3,0,0.495,0,0,0,0,833000,412300,6
CR500304,CUST100304,2024-06-30,633,4,2,0.497,5,0,1,0,178000,88500,6
CR500305,CUST100305,2024-06-30,656,1,1,0.427,0,0,0,0,160000,68300,376
CR500306,CUST100306,2024-06-30,704,1,3,0.25,0,0,0,0,210000,52500,291
CR500307,CUST100307,2024-06-30,641,5,4,0.639,1,0,0,0,176000,112500,217
CR500308,CUST100308,2024-06-30,594,3,2,0.382,3,1,0,0,311000,118800,93
CR500309,CUST100309,2024-06-30,762,7,2,0.219,0,0,0,0,705000,154400,125
CR500310,CUST100310,2024-06-30,500,3,1,0.424,0,0,0,0,77000,32600,23
CR500311,CUST100311,2024-06-30,601,5,1,0.285,4,0,0,0,137000,39000,43
CR500312,CUST100312,2024-06-30,556,3,1,0.519,1,1,0,0,129000,67000,48
